SUB,SUB_area_km2,mian_channel_km,AGRL,RICE,Cultivated_land,station
1,2411.648259,72.43205634,0,0.090560735,0.090560735,59102
2,2733.948265,78.72940998,0,0.096736498,0.096736498,59102
3,753.8928582,4.145738648,0,0.125143265,0.125143265,59096
4,870.5772681,22.12567182,0,0.092354636,0.092354636,59096
5,104.4581154,9.206233956,0,0.181972042,0.181972042,59293
6,410.6733375,39.35994496,0,0.077805338,0.077805338,59303
7,1049.50886,27.22764863,0,0.121593365,0.121593365,59096
8,918.1343005,8.049708867,0,0.117639475,0.117639475,59096
9,535.1212111,38.59315972,0,0,0,59096
10,2017.152681,49.3718165,0.055705526,0.147447169,0.203152695,59096
11,3022.265679,112.5823164,0,0.088002892,0.088002892,59293
12,1274.416897,57.2212381,0,0,0,59293
13,1196.270884,48.25228419,0.077534326,0.118017961,0.195552286,59293
14,1677.280282,52.70294179,0,0.141720128,0.141720128,59293
15,1364.603254,17.97675979,0.123446641,0.264923135,0.388369776,59293
16,312.0726868,23.40849882,0,0.14166173,0.14166173,59298
17,3136.81165,135.5780908,0,0.161866871,0.161866871,59087
18,498.2098885,13.75572081,0.060460646,0.296112058,0.356572704,59298
19,693.0403117,57.615466,0.082548084,0.245057889,0.327605972,59298
20,722.8854876,6.093892915,0.059960785,0.264759029,0.324719814,59298
21,93.85889389,21.63130036,0,0.12236658,0.12236658,59298
